Date,Price,Open,High,Low,Vol.,Return
1/4/2009,365.8484,353.209,382.777,347.238,,0.0204
1/3/2009,358.5256,329.686,383.579,312.574,,0.0663
1/2/2009,336.24,332.954,353.958,305.585,,0.0001
1/1/2009,336.2046,338.354,383.844,325.873,,-0.0368
1/12/2008,349.038,382.189,382.342,307.84,,-0.1065
1/11/2008,390.6464,447.664,475.112,362.947,,-0.1309
1/10/2008,449.461,622.237,634.352,413.373,,-0.2777
1/9/2008,622.2371,663.994,681.636,588.48,,-0.1213
1/8/2008,708.1559,754.2859,779.186,689.235,,-0.0685
1/7/2008,760.1992,869.7079,893.8589,744.009,,-0.1189
1/6/2008,862.809,781.79,882.813,764.877,,0.0969
1/5/2008,786.5829,725.3199,828.322,701.105,,0.0909
1/4/2008,721.067,661.588,750.621,655.696,,0.078
1/3/2008,668.913,681.082,722.649,649.321,,-0.016
1/2/2008,679.778,606.804,686.3979,590.568,,0.1174
1/1/2008,608.378,614.046,635.6379,575.832,,-0.0029
1/12/2007,610.1689,576.196,618.9709,565.299,,0.0557
1/11/2007,577.987,603.4,623.6299,577.046,,-0.0356
1/10/2007,599.31,547.972,600.314,526.356,,0.0974
1/9/2007,546.133,496.887,555.067,492.895,,0.1026
1/8/2007,495.3045,514.5959,517.7079,472.4,,-0.04
1/7/2007,515.941,490.161,517.2629,485.075,,0.0548
1/6/2007,489.152,467.586,499.109,465.377,,0.0393
1/5/2007,470.648,470.9727,484.042,454.84,,-0.008
1/4/2007,474.4641,467.1642,477.8383,459.3198,,0.0136
1/3/2007,468.115,448.5116,468.1502,436.4039,,0.0438
1/2/2007,448.4914,422.5295,450.9571,422.5295,,0.0498
1/1/2007,427.2178,432.1335,432.1335,392.6523,,-0.0148
1/12/2006,433.6465,462.4187,462.4187,431.0525,,-0.0647
1/11/2006,463.6554,429.5622,463.6554,428.2353,,0.0802
1/10/2006,429.2243,420.1734,447.0071,409.6788,,0.0027
1/9/2006,428.0533,459.0111,459.0111,418.0165,,-0.0812
1/8/2006,465.868,498.4193,506.7766,464.2655,,-0.065
1/7/2006,498.2476,485.43,509.6343,482.014,,0.028
1/6/2006,484.6753,471.2759,484.6753,459.9281,,0.0213
1/5/2006,474.5546,484.0205,500.5345,464.9891,,-0.0005
1/4/2006,474.7863,445.1778,496.1841,441.249,,0.0729
1/3/2006,442.519,418.3736,447.3778,410.963,,0.0641
1/2/2006,415.8627,445.3492,445.3492,405.4679,,-0.0838
1/1/2006,453.9183,438.1793,456.6674,432.1028,,0.0514
1/12/2005,431.7214,425.4086,457.5468,417.0102,,0.038
1/11/2005,415.9086,421.0456,427.8506,407.7445,,-0.0165
1/10/2005,422.8764,466.9965,466.9965,422.8764,,-0.0994
1/9/2005,469.5595,475.2529,475.2529,435.3258,,0.0095
1/8/2005,465.1507,408.7134,467.568,406.9561,,0.1571
1/7/2005,401.999,390.7274,408.2864,383.4584,,0.0585
1/6/2005,379.7879,368.9709,399.0615,366.1164,,0.0702
1/5/2005,354.8881,357.1423,361.462,341.0289,,0.0034
