"Date","Price","Open","High","Low","Vol.","Change %"
"01-06-1997","335.30","347.30","347.60","334.60","490.26K","-3.51%"
"01-05-1997","347.50","341.10","352.20","340.40","560.70K","1.85%"
"01-04-1997","341.20","354.30","355.10","339.50","460.53K","-3.62%"
"01-03-1997","354.00","365.10","366.00","346.30","613.91K","-3.04%"
"01-02-1997","365.10","346.30","365.50","338.50","761.35K","5.52%"
"01-01-1997","346.00","369.20","369.40","345.40","786.32K","-6.28%"
"01-12-1996","369.20","373.90","376.10","367.70","404.43K","-1.02%"
"01-11-1996","373.00","378.80","385.80","372.50","500.00K","-1.61%"
"01-10-1996","379.10","380.80","386.50","378.50","451.16K","-0.37%"
"01-09-1996","380.50","391.50","391.50","380.10","480.84K","-2.76%"
"01-08-1996","391.30","392.90","396.20","390.00","376.14K","-0.46%"
"01-07-1996","393.10","382.30","393.30","381.50","547.65K","3.01%"
"01-06-1996","381.60","394.30","394.30","381.50","508.21K","-3.25%"
"01-05-1996","394.40","393.50","398.00","389.80","582.68K","0.23%"
"01-04-1996","393.50","398.10","401.00","391.50","603.51K","-1.23%"
"01-03-1996","398.40","401.10","402.50","392.30","640.24K","-0.70%"
"01-02-1996","401.20","409.20","419.60","397.50","842.43K","-1.79%"
"01-01-1996","408.50","392.00","410.40","388.00","985.65K","5.26%"
"01-12-1995","388.10","387.60","392.40","386.70","359.01K","-0.13%"
"01-11-1995","388.60","384.10","391.50","381.50","641.95K","1.12%"
"01-10-1995","384.30","385.90","388.70","382.60","321.70K","-0.57%"
"01-09-1995","386.50","386.40","390.60","383.10","435.57K","-0.10%"
"01-08-1995","386.90","388.20","396.00","385.40","455.58K","-0.39%"
"01-07-1995","388.40","385.20","396.30","383.00","454.52K","0.73%"
"01-06-1995","385.60","386.60","395.00","384.20","499.00K","-0.52%"
"01-05-1995","387.60","389.90","393.90","381.50","582.90K","-0.23%"
"01-04-1995","388.50","395.20","400.80","387.30","536.92K","-1.47%"
"01-03-1995","394.30","377.40","402.00","374.50","778.14K","4.23%"
"01-02-1995","378.30","378.70","382.40","376.30","383.30K","0.16%"
"01-01-1995","377.70","382.40","386.00","372.00","646.28K","-1.74%"
"01-12-1994","384.40","383.70","386.80","377.70","377.24K","-0.03%"
"01-11-1994","384.50","384.70","387.90","382.40","483.73K","-0.10%"
"01-10-1994","384.90","396.20","399.80","383.70","591.46K","-3.19%"
"01-09-1994","397.60","390.50","401.90","389.90","595.28K","1.74%"
"01-08-1994","390.80","390.10","394.00","380.20","572.65K","0.41%"
"01-07-1994","389.20","386.80","394.10","382.00","533.60K","0.49%"
"01-06-1994","387.30","390.40","397.90","380.40","652.33K","-0.69%"
"01-05-1994","390.00","377.70","391.40","373.10","725.46K","3.23%"
"01-04-1994","377.80","394.70","395.80","369.50","529.48K","-4.18%"
"01-03-1994","394.30","381.80","396.50","374.00","641.89K","3.08%"
"01-02-1994","382.50","383.60","392.30","375.70","530.88K","-0.29%"
"01-01-1994","383.60","391.90","397.80","377.20","706.74K","-2.12%"
"01-12-1993","391.90","371.40","393.90","370.40","471.97K","5.38%"
"01-11-1993","371.90","368.60","381.20","360.70","666.68K","0.62%"
"01-10-1993","369.60","356.40","376.70","350.00","579.52K","3.50%"
"01-09-1993","357.10","374.40","375.00","343.00","652.41K","-4.95%"
"01-08-1993","375.70","410.40","414.00","367.00","713.86K","-8.66%"
"01-07-1993","411.30","378.90","411.70","378.10","845.95K","8.47%"
"01-06-1993","379.20","379.70","381.00","361.70","727.87K","-0.29%"
"01-05-1993","380.30","358.80","386.50","354.30","786.10K","6.47%"
